(Jul 12 2020 00:36:50,  871658 sec) DownLoadMissionCfg(  Keeping previous version of "mission.cfg".
(Jul 12 2020 00:37:02,  871670 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 12 2020 00:37:05,  871672 sec) Rx()                 Initiating transfer. [0x15]
(Jul 12 2020 00:37:16,  871683 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:37:27,  871694 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:37:38,  871705 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:37:49,  871716 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:37:49,  871717 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:00,  871727 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:00,  871728 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:11,  871738 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:11,  871739 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:22,  871749 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:22,  871750 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:33,  871760 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:33,  871761 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:44,  871771 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:44,  871772 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:55,  871782 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 12 2020 00:38:55,  871783 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:38:55,  871783 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Jul 12 2020 00:39:06,  871794 sec) RxConfig()           Download failed.
(Jul 12 2020 00:39:19,  871807 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 12 2020 00:39:21,  871809 sec) Rx()                 Initiating transfer. [0x15]
(Jul 12 2020 00:39:32,  871819 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:39:43,  871830 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:39:54,  871841 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 12 2020 00:40:05,  871852 sec) Rx()                 Switching from 16-bit CRC to checksum.
